Time,Type,Height,Temp
2022-09-08 18:04:09.575229,Altitude,0.0,44.4
2022-09-08 18:04:09.752456,Altitude,0.0,44.4
2022-09-08 18:04:09.943831,Altitude,0.0,44.6
2022-09-08 18:04:10.134977,Altitude,0.0,44.8
2022-09-08 18:04:10.311976,Altitude,0.0,44.6
2022-09-08 18:04:10.501938,Altitude,0.0,44.9
2022-09-08 18:04:10.696965,Altitude,0.0,45.2
2022-09-08 18:04:10.869523,Altitude,0.0,45.0
2022-09-08 18:04:11.077298,Altitude,0.0,45.0
2022-09-08 18:04:11.253010,Altitude,0.0,44.9
2022-09-08 18:04:11.429431,Altitude,0.0,44.6
2022-09-08 18:04:11.636526,Altitude,0.0,44.5
2022-09-08 18:04:11.812848,Altitude,5.675,44.5
2022-09-08 18:04:12.003919,Altitude,0.0,44.3
2022-09-08 18:04:12.199891,Altitude,0.0,44.1
2022-09-08 18:04:12.371929,Altitude,5.439,44.2
2022-09-08 18:04:12.579182,Altitude,0.0,44.2
2022-09-08 18:04:12.759143,Altitude,0.0,44.3
2022-09-08 18:04:12.930883,Altitude,0.0,44.4
2022-09-08 18:04:13.138446,Altitude,0.0,44.6
2022-09-08 18:04:13.317282,Altitude,0.0,44.6
2022-09-08 18:04:13.502384,Altitude,0.0,44.8
2022-09-08 18:04:13.697799,Altitude,0.0,45.0
2022-09-08 18:04:13.876121,Altitude,0.0,45.0
2022-09-08 18:04:14.065419,Altitude,0.0,45.0
2022-09-08 18:04:14.257080,Altitude,0.0,44.8
2022-09-08 18:04:14.432793,Altitude,0.0,44.7
2022-09-08 18:04:14.625041,Altitude,0.0,44.5
2022-09-08 18:04:14.816321,Altitude,0.0,44.5
2022-09-08 18:04:14.995332,Altitude,0.0,44.2
2022-09-08 18:04:15.199908,Altitude,0.0,44.1
2022-09-08 18:04:15.375623,Altitude,5.609,44.1
2022-09-08 18:04:15.567893,Altitude,0.0,44.1
2022-09-08 18:04:15.760433,Altitude,5.552,44.2
2022-09-08 18:04:15.934903,Altitude,0.0,44.3
2022-09-08 18:04:16.126726,Altitude,0.0,44.4
2022-09-08 18:04:16.318403,Altitude,0.0,44.4
2022-09-08 18:04:16.495027,Altitude,0.0,44.7
2022-09-08 18:04:16.685891,Altitude,0.0,44.8
2022-09-08 18:04:16.877575,Altitude,0.0,44.8
2022-09-08 18:04:17.069359,Altitude,0.0,44.8
2022-09-08 18:04:17.260972,Altitude,0.0,44.7
2022-09-08 18:04:17.436810,Altitude,0.0,44.5
2022-09-08 18:04:17.630151,Altitude,0.0,44.4
2022-09-08 18:04:17.820675,Altitude,5.612,44.5
2022-09-08 18:04:17.996176,Altitude,0.0,44.2
2022-09-08 18:04:18.187950,Altitude,0.0,44.0
2022-09-08 18:04:18.379890,Altitude,0.0,44.1
2022-09-08 18:04:18.572158,Altitude,0.0,44.1
2022-09-08 18:04:18.763032,Altitude,0.0,44.2
2022-09-08 18:04:18.938871,Altitude,0.0,44.5
2022-09-08 18:04:19.130824,Altitude,0.0,44.6
2022-09-08 18:04:19.323150,Altitude,0.0,44.4
2022-09-08 18:04:19.498088,Altitude,0.0,44.7
2022-09-08 18:04:19.690382,Altitude,0.0,45.0
2022-09-08 18:04:19.881528,Altitude,0.0,44.7
2022-09-08 18:04:20.073405,Altitude,0.0,44.8
2022-09-08 18:04:20.249141,Altitude,0.0,44.7
2022-09-08 18:04:20.444192,Altitude,0.0,44.4
2022-09-08 18:04:20.632580,Altitude,0.0,44.4
2022-09-08 18:04:20.808464,Altitude,0.0,44.7
2022-09-08 18:04:21.002239,Altitude,0.0,44.6
2022-09-08 18:04:21.191896,Altitude,0.0,44.4
2022-09-08 18:04:21.367700,Altitude,0.0,44.7
2022-09-08 18:04:21.575402,Altitude,0.0,44.8
2022-09-08 18:04:21.754017,Altitude,0.0,44.8
2022-09-08 18:04:21.943758,Altitude,0.0,45.0
2022-09-08 18:04:22.134938,Altitude,0.0,45.1
2022-09-08 18:04:22.313291,Altitude,0.0,44.9
2022-09-08 18:04:22.502154,Altitude,0.0,44.8
2022-09-08 18:04:22.695060,Altitude,0.0,44.8
2022-09-08 18:04:22.870679,Altitude,0.0,44.6
2022-09-08 18:04:23.077439,Altitude,0.0,44.5
2022-09-08 18:04:23.253180,Altitude,0.0,44.7
2022-09-08 18:04:23.429090,Altitude,0.0,44.7
2022-09-08 18:04:23.639362,Altitude,0.0,44.8
2022-09-08 18:04:23.814132,Altitude,0.0,44.8
2022-09-08 18:04:23.988328,Altitude,0.0,45.1
2022-09-08 18:04:24.195977,Altitude,0.0,45.2
